CheckingStatus;LoanDuration;CreditHistory;LoanPurpose;LoanAmount;ExistingSavings;EmploymentDuration;InstallmentPercent;Sex;OthersOnLoan;CurrentResidenceDuration;OwnsProperty;Age;InstallmentPlans;Housing;ExistingCreditsCount;Job;Dependents;Telephone;ForeignWorker;Risk
no_checking;٢٨;outstanding_credit;appliances;٧٣٣٣;greater_1000;1_to_4;٤;female;none;٤;unknown;٥٤;none;own;٢;management_self-employed;٢;yes;yes;Risk
0_to_200;١٤;credits_paid_to_date;car_used;٢٥٠;less_100;1_to_4;٣;male;none;٢;real_estate;٢٧;none;own;١;skilled;١;none;yes;No Risk
0_to_200;٣٣;outstanding_credit;radio_tv;٤٢٩٦;500_to_1000;greater_7;٤;male;none;٢;unknown;٤٢;stores;own;٢;unskilled;١;none;yes;No Risk
0_to_200;٥;all_credits_paid_back;appliances;٤٩٩١;less_100;less_1;٣;female;none;٣;car_other;٢٨;none;own;١;management_self-employed;١;none;yes;No Risk
no_checking;٢٥;all_credits_paid_back;retraining;٨٣٨١;500_to_1000;1_to_4;٤;female;none;٤;savings_insurance;٤٣;none;own;٢;management_self-employed;١;none;yes;No Risk
0_to_200;٤;all_credits_paid_back;education;٧٩٠;less_100;1_to_4;٣;male;none;١;real_estate;١٩;bank;rent;١;unskilled;١;none;yes;No Risk
no_checking;٣٨;prior_payments_delayed;furniture;٦٠٥٢;500_to_1000;4_to_7;٤;female;none;٤;car_other;٤٢;none;own;٣;unskilled;٢;yes;yes;Risk
no_checking;٢٨;prior_payments_delayed;car_used;٤٨٣٣;100_to_500;4_to_7;٤;female;none;٤;unknown;٤٥;bank;free;٢;unskilled;١;yes;yes;No Risk
no_checking;٣١;prior_payments_delayed;appliances;٤٥٧٠;500_to_1000;less_1;٣;female;none;٣;real_estate;٣٨;stores;rent;١;unskilled;١;none;yes;No Risk
0_to_200;١٢;credits_paid_to_date;car_used;٣٥٦٣;less_100;4_to_7;٢;male;none;٢;real_estate;٢٣;none;own;١;skilled;١;none;yes;No Risk
less_0;١٢;all_credits_paid_back;car_used;٢٥٠;less_100;1_to_4;٢;female;none;١;real_estate;٣١;stores;own;١;skilled;١;none;yes;No Risk
no_checking;١٣;credits_paid_to_date;vacation;٧٢٠٠;100_to_500;1_to_4;٣;male;none;٤;car_other;٣٥;none;own;٢;management_self-employed;٢;yes;yes;Risk
0_to_200;٣٣;prior_payments_delayed;furniture;٢٣٠٩;100_to_500;greater_7;٣;male;none;٣;savings_insurance;٣٣;stores;own;١;unskilled;٢;none;yes;No Risk
less_0;٨;no_credits;car_new;٢٥٠;less_100;less_1;١;female;none;١;real_estate;٢١;stores;rent;١;skilled;١;none;yes;No Risk
no_checking;٣١;outstanding_credit;other;٦٣٠٧;500_to_1000;1_to_4;٣;male;guarantor;٣;car_other;٤٦;none;free;١;skilled;١;yes;yes;No Risk
0_to_200;٢٠;credits_paid_to_date;retraining;١٢٤١;100_to_500;1_to_4;٢;male;none;١;car_other;١٩;stores;rent;١;unskilled;١;none;yes;Risk
less_0;١٩;credits_paid_to_date;car_used;١٢٨٦;less_100;less_1;٢;female;none;٣;car_other;٢٣;stores;own;١;skilled;١;none;yes;No Risk
no_checking;٣٣;outstanding_credit;furniture;٧٠٨٦;500_to_1000;greater_7;٥;male;co-applicant;٣;unknown;٥٥;none;free;٢;skilled;١;yes;yes;Risk
greater_200;٢٥;credits_paid_to_date;car_used;٩٢٩٥;100_to_500;1_to_4;٣;male;co-applicant;٣;unknown;٤٢;none;free;٢;skilled;١;none;yes;No Risk
less_0;١٨;credits_paid_to_date;vacation;٩٠٠;less_100;less_1;٢;female;none;١;savings_insurance;٣٢;none;own;٢;skilled;١;none;yes;No Risk
0_to_200;٣٣;prior_payments_delayed;business;٢٩٧٦;100_to_500;greater_7;٣;female;none;٢;savings_insurance;٣٢;stores;own;٢;skilled;١;none;yes;No Risk
0_to_200;٤;all_credits_paid_back;car_new;٢٢٦٥;less_100;less_1;٢;male;none;٢;savings_insurance;٢٧;none;rent;١;skilled;١;none;yes;No Risk
no_checking;٣٩;prior_payments_delayed;other;٧٩٢٩;greater_1000;greater_7;٥;male;co-applicant;٤;car_other;٤٤;none;free;٢;management_self-employed;١;none;yes;Risk
0_to_200;٤;all_credits_paid_back;car_used;٢٥٠;less_100;unemployed;١;male;none;٢;real_estate;٢١;none;rent;١;skilled;١;none;yes;No Risk
0_to_200;٢٠;credits_paid_to_date;car_new;٣١٧٥;500_to_1000;less_1;٢;male;none;٣;real_estate;٣٦;none;rent;١;skilled;١;none;yes;No Risk
no_checking;١٢;credits_paid_to_date;car_new;٧٥٩٣;less_100;1_to_4;٤;male;none;٣;savings_insurance;٤٦;stores;free;٢;skilled;١;yes;yes;No Risk
no_checking;٤٠;prior_payments_delayed;furniture;٧٩٨٧;500_to_1000;greater_7;٥;male;co-applicant;٥;car_other;٤٥;stores;own;٢;unskilled;١;yes;yes;Risk
no_checking;٢٧;prior_payments_delayed;appliances;٦٤٧٩;500_to_1000;1_to_4;٣;female;none;٢;car_other;٤٠;none;own;١;skilled;١;yes;yes;No Risk
no_checking;٢٨;prior_payments_delayed;car_used;٥٥٩٢;500_to_1000;1_to_4;٤;male;none;٣;car_other;٤٥;none;own;١;skilled;١;none;yes;Risk
0_to_200;٢١;outstanding_credit;radio_tv;٦٨٢٦;greater_1000;greater_7;٤;male;none;٣;car_other;٣٤;none;own;٢;skilled;١;yes;yes;No Risk
less_0;١٣;all_credits_paid_back;car_used;١٢٩٩;less_100;unemployed;٢;female;none;٣;savings_insurance;٢٤;none;own;١;skilled;١;none;yes;No Risk
no_checking;٤٤;prior_payments_delayed;other;٥٠٠٩;500_to_1000;4_to_7;٤;male;none;٣;savings_insurance;٣٤;none;own;١;skilled;٢;yes;yes;No Risk
greater_200;٢١;outstanding_credit;car_used;٥٩١٢;100_to_500;4_to_7;٤;female;co-applicant;٤;unknown;٤٦;none;own;١;skilled;٢;yes;yes;Risk
no_checking;٨;prior_payments_delayed;furniture;٨١١;100_to_500;1_to_4;٢;male;none;٢;savings_insurance;٣٣;bank;rent;١;unemployed;١;none;yes;No Risk
0_to_200;٢٢;credits_paid_to_date;car_new;٦٥٤٤;less_100;1_to_4;٤;male;none;٣;savings_insurance;٣٢;none;own;٢;skilled;١;none;yes;Risk
no_checking;٨;credits_paid_to_date;car_new;٥٩٩٢;100_to_500;4_to_7;٤;male;none;٣;unknown;٢٨;none;free;٢;management_self-employed;١;none;yes;No Risk
less_0;١١;all_credits_paid_back;vacation;٥٩٨;less_100;1_to_4;٢;female;co-applicant;٢;savings_insurance;٣٤;stores;rent;١;skilled;١;none;yes;No Risk
no_checking;١٩;credits_paid_to_date;car_new;٢٢٧٤;greater_1000;1_to_4;٣;male;none;٢;real_estate;٢٤;none;own;٢;skilled;١;none;yes;Risk
no_checking;٢٨;outstanding_credit;business;٥١٢٤;500_to_1000;greater_7;٥;female;none;٣;car_other;٣٩;none;own;١;management_self-employed;١;none;yes;Risk
no_checking;٢٤;prior_payments_delayed;car_used;٦٤١٥;100_to_500;1_to_4;٣;female;none;٤;savings_insurance;٤٩;none;own;١;management_self-employed;١;none;yes;No Risk
less_0;١٤;prior_payments_delayed;car_new;٤٠٠٢;500_to_1000;greater_7;٣;female;co-applicant;٣;car_other;٤٩;stores;own;١;unskilled;١;yes;yes;Risk
less_0;٢٣;credits_paid_to_date;furniture;٢٥٠;less_100;less_1;٢;male;none;٢;real_estate;٢٠;bank;rent;١;unskilled;١;none;yes;No Risk
less_0;١٣;all_credits_paid_back;car_new;٩٣٧;less_100;less_1;٢;female;none;١;car_other;٢٦;stores;own;١;skilled;١;none;yes;No Risk
no_checking;٨;credits_paid_to_date;car_new;١٨٤١;greater_1000;4_to_7;٣;male;co-applicant;٣;savings_insurance;٤٦;none;own;٢;skilled;١;yes;yes;No Risk
0_to_200;٢٩;outstanding_credit;appliances;٦٦١٤;100_to_500;greater_7;٤;male;none;٤;car_other;٣٧;none;free;٢;management_self-employed;١;yes;yes;No Risk
less_0;١٣;prior_payments_delayed;furniture;٢٥٠;500_to_1000;1_to_4;٣;male;none;٣;savings_insurance;٣٩;none;own;٢;skilled;١;yes;yes;Risk
less_0;١٤;prior_payments_delayed;car_new;١٣٢٨;less_100;less_1;٢;female;none;٢;savings_insurance;٢٧;none;rent;١;skilled;١;none;yes;No Risk
0_to_200;٢٧;prior_payments_delayed;appliances;٧٠٩;100_to_500;greater_7;٣;female;none;٢;real_estate;٢٢;stores;rent;٢;skilled;٢;none;yes;Risk
no_checking;٥٣;outstanding_credit;radio_tv;٧٠٣٢;greater_1000;4_to_7;٥;male;co-applicant;٥;car_other;٤٤;stores;own;٢;unskilled;٢;yes;yes;No Risk
less_0;٤;all_credits_paid_back;car_new;٢٥٠;less_100;less_1;٢;female;none;١;savings_insurance;٢١;none;rent;١;skilled;١;none;yes;No Risk
less_0;٩;no_credits;radio_tv;٢٠٨٤;less_100;unemployed;١;female;none;١;real_estate;٣٦;none;rent;١;skilled;١;none;yes;No Risk
no_checking;٣٧;prior_payments_delayed;appliances;٣٦٢٦;500_to_1000;1_to_4;٢;female;none;٤;savings_insurance;٤٧;none;free;٢;skilled;٢;yes;yes;Risk
less_0;١٦;credits_paid_to_date;vacation;١٢١٦;less_100;less_1;٢;male;none;٣;real_estate;٢٩;none;own;١;management_self-employed;١;none;yes;No Risk
no_checking;٢١;prior_payments_delayed;radio_tv;١٦٤٦;unknown;greater_7;٤;male;none;٣;savings_insurance;٤٠;none;own;١;skilled;١;none;yes;No Risk
no_checking;٣٩;outstanding_credit;other;٦٥٥٩;greater_1000;4_to_7;٤;female;none;٢;car_other;٥٧;bank;own;٢;unskilled;٢;yes;yes;Risk
less_0;٢٤;prior_payments_delayed;radio_tv;١٥٦٩;100_to_500;greater_7;٣;female;none;٢;savings_insurance;٢٥;stores;free;٢;skilled;١;yes;yes;No Risk
0_to_200;٣٠;credits_paid_to_date;furniture;٢٠٣٤;greater_1000;greater_7;٣;male;none;٢;car_other;٣٩;none;rent;١;skilled;١;none;yes;No Risk
less_0;١٠;all_credits_paid_back;car_new;١٠٠٠;less_100;less_1;١;female;none;٢;real_estate;٣٤;stores;own;١;skilled;١;none;yes;No Risk
no_checking;٢٥;prior_payments_delayed;furniture;٦٧٤٠;100_to_500;4_to_7;٤;female;none;٤;savings_insurance;٣٩;none;own;٢;skilled;٢;yes;yes;No Risk
no_checking;٣٦;prior_payments_delayed;furniture;٢٢٢٤;500_to_1000;4_to_7;٣;male;none;٢;savings_insurance;٤١;none;own;٢;skilled;١;none;yes;No Risk
less_0;١٢;all_credits_paid_back;car_new;٨٤٤;less_100;less_1;٢;male;none;٢;real_estate;٢٠;none;own;١;skilled;١;none;yes;No Risk
less_0;٤;credits_paid_to_date;car_new;٢٥٠;less_100;less_1;٢;female;none;١;real_estate;١٩;none;own;١;skilled;١;none;yes;No Risk
less_0;١٧;credits_paid_to_date;car_used;٢٦٢٤;less_100;4_to_7;٣;male;none;٢;car_other;٣٣;none;own;٢;skilled;١;yes;yes;Risk
no_checking;١٩;outstanding_credit;radio_tv;٧٨١٨;100_to_500;4_to_7;٣;female;none;٤;unknown;٤٠;none;own;١;management_self-employed;١;yes;yes;Risk
greater_200;١٩;credits_paid_to_date;radio_tv;٣٦٧٠;less_100;1_to_4;٣;male;none;٤;car_other;٣٣;none;own;٢;management_self-employed;١;none;yes;Risk
no_checking;٣٢;prior_payments_delayed;car_used;١٩٠٥;unknown;1_to_4;٤;male;none;٤;savings_insurance;٣٣;none;own;١;skilled;١;yes;yes;No Risk
no_checking;٣١;outstanding_credit;repairs;٨٤١١;500_to_1000;4_to_7;٥;male;co-applicant;٥;unknown;٤٦;none;free;٢;management_self-employed;٢;yes;yes;Risk
no_checking;٤٦;outstanding_credit;appliances;٣٠٩٢;greater_1000;greater_7;٣;male;none;٣;car_other;٥٠;none;own;٢;skilled;١;yes;yes;Risk
no_checking;٣٤;outstanding_credit;appliances;٦٧٢٥;500_to_1000;4_to_7;٤;female;none;٢;unknown;٥٦;none;free;٢;skilled;١;yes;yes;Risk
less_0;٩;all_credits_paid_back;car_used;٢٥٠;100_to_500;less_1;٢;male;none;١;real_estate;١٩;none;rent;١;skilled;١;none;yes;No Risk
no_checking;٢٧;outstanding_credit;radio_tv;٥٢٨٧;500_to_1000;1_to_4;٤;male;none;٣;savings_insurance;٤٠;none;free;٢;management_self-employed;٢;yes;yes;No Risk
no_checking;٤١;outstanding_credit;repairs;٣٧٥٤;unknown;greater_7;٥;male;none;٥;car_other;٥٥;none;free;٢;skilled;٢;yes;yes;Risk
no_checking;٢٨;prior_payments_delayed;car_used;٥٧١٥;unknown;greater_7;٥;male;co-applicant;٥;savings_insurance;٤٥;none;free;٢;skilled;١;yes;yes;Risk
less_0;٦;all_credits_paid_back;car_new;٢٥٠;less_100;unemployed;١;female;co-applicant;٢;real_estate;٢٧;none;rent;١;skilled;١;none;yes;No Risk
no_checking;٣٨;credits_paid_to_date;furniture;٤٩٦٥;500_to_1000;4_to_7;٤;female;none;٣;car_other;٣٧;none;own;٣;skilled;١;none;yes;Risk
0_to_200;١٠;no_credits;car_new;٢٥٠;less_100;less_1;٢;female;none;٢;real_estate;٢٢;none;own;١;skilled;١;none;yes;No Risk
no_checking;٣٩;prior_payments_delayed;education;٦٥٥٥;500_to_1000;4_to_7;٥;male;co-applicant;٤;savings_insurance;٤٠;none;free;٣;management_self-employed;٢;yes;yes;Risk
less_0;٤;credits_paid_to_date;car_new;٢٥٠;100_to_500;less_1;٢;female;none;١;savings_insurance;١٩;none;rent;١;skilled;١;none;yes;No Risk
0_to_200;١٤;credits_paid_to_date;vacation;٣٠١١;less_100;4_to_7;٢;male;none;٣;car_other;٤١;none;own;١;skilled;١;none;yes;No Risk
less_0;٥;all_credits_paid_back;car_new;٢٥٠;less_100;unemployed;١;male;none;١;real_estate;١٩;none;rent;١;skilled;١;none;yes;No Risk
no_checking;٤٥;prior_payments_delayed;appliances;٧٢٨٥;unknown;4_to_7;٥;male;co-applicant;٤;unknown;٤١;none;own;٢;skilled;١;yes;no;Risk
no_checking;٢٩;prior_payments_delayed;furniture;٤٠٦١;greater_1000;4_to_7;٤;female;co-applicant;٣;car_other;٤٥;none;own;٢;skilled;١;yes;yes;Risk
less_0;٣٠;outstanding_credit;car_used;٥٥٤٦;100_to_500;4_to_7;٣;male;none;٢;car_other;٣٤;none;own;١;skilled;١;yes;yes;Risk
0_to_200;١٧;credits_paid_to_date;furniture;٢٥٠;less_100;1_to_4;٢;male;none;٣;savings_insurance;١٩;none;rent;١;skilled;١;none;yes;Risk
0_to_200;١٥;credits_paid_to_date;furniture;١٣٥٠;less_100;4_to_7;٢;male;none;٣;savings_insurance;٢٩;none;own;١;skilled;١;none;yes;Risk
no_checking;٣٠;prior_payments_delayed;radio_tv;٦٥٩٩;greater_1000;greater_7;٥;male;none;٤;unknown;٤١;none;free;٢;skilled;١;yes;yes;No Risk
less_0;١٢;credits_paid_to_date;car_used;٥١٦٦;less_100;1_to_4;٢;male;none;١;car_other;٢٨;stores;rent;١;unskilled;٢;yes;yes;No Risk
no_checking;٣٣;outstanding_credit;other;٥٨٥٣;500_to_1000;1_to_4;٤;male;none;٥;car_other;٣٨;stores;own;٢;unskilled;١;yes;yes;Risk
no_checking;٣٥;prior_payments_delayed;furniture;٦٣٨٥;500_to_1000;greater_7;٥;male;co-applicant;٣;savings_insurance;٤٧;none;free;٢;skilled;٢;yes;yes;No Risk
no_checking;٣٢;outstanding_credit;repairs;٧٤١٨;500_to_1000;greater_7;٤;male;co-applicant;٤;unknown;٥٢;none;free;٢;skilled;١;yes;yes;Risk
less_0;١٦;credits_paid_to_date;furniture;٥٨٦;500_to_1000;4_to_7;١;female;none;١;savings_insurance;٣٧;stores;own;١;unskilled;١;none;yes;No Risk
less_0;٤;all_credits_paid_back;car_new;٢٥٠;less_100;unemployed;٢;male;none;٢;real_estate;١٩;none;rent;١;skilled;١;none;yes;No Risk
no_checking;٣٢;prior_payments_delayed;car_used;٩٢٣٣;500_to_1000;4_to_7;٣;female;none;٤;car_other;٤٦;none;free;٢;skilled;٢;yes;yes;Risk
less_0;٤;all_credits_paid_back;car_new;٢٥٠;less_100;less_1;١;male;none;١;real_estate;١٩;none;own;١;skilled;١;none;yes;No Risk
greater_200;٢٠;credits_paid_to_date;car_used;٢٥٧٧;less_100;4_to_7;٣;male;none;٢;savings_insurance;٥١;none;free;٢;skilled;١;yes;yes;No Risk
0_to_200;٤;all_credits_paid_back;car_new;٢٥٠;less_100;unemployed;١;male;co-applicant;٣;real_estate;٣٥;bank;rent;١;unemployed;١;none;yes;No Risk
no_checking;٤٢;outstanding_credit;appliances;٧٢٤٠;greater_1000;greater_7;٥;female;co-applicant;٥;unknown;٦٠;none;free;٣;skilled;٢;yes;yes;Risk
no_checking;٢٨;prior_payments_delayed;business;٥٦٢٦;100_to_500;4_to_7;٤;male;none;٤;savings_insurance;٢٨;none;own;١;management_self-employed;١;none;yes;No Risk
no_checking;٢٩;prior_payments_delayed;appliances;٦٨٠٩;100_to_500;4_to_7;٤;female;none;٣;savings_insurance;٤٦;none;own;٢;skilled;١;yes;yes;Risk
less_0;٤;credits_paid_to_date;car_used;٢٥٠;100_to_500;4_to_7;٢;female;none;١;savings_insurance;٢٧;none;rent;١;skilled;١;none;yes;No Risk
0_to_200;١٧;credits_paid_to_date;car_used;٣٣٠١;less_100;less_1;٣;male;none;٢;real_estate;٣٠;none;own;١;skilled;١;none;yes;No Risk
no_checking;٢٩;prior_payments_delayed;radio_tv;١٨٥٥;500_to_1000;greater_7;٤;male;none;٣;savings_insurance;٤٠;none;own;١;skilled;١;none;yes;No Risk
less_0;١٠;all_credits_paid_back;car_used;٨٧٥;100_to_500;less_1;٢;female;none;٢;car_other;٢٥;bank;rent;٢;unemployed;١;none;yes;No Risk
no_checking;٢١;credits_paid_to_date;car_used;٢٠٤٩;100_to_500;less_1;٣;female;none;٢;real_estate;٣٦;none;own;١;skilled;١;none;yes;No Risk
less_0;٢٢;prior_payments_delayed;furniture;٢٨٤٩;less_100;4_to_7;٣;female;none;٣;savings_insurance;٣٣;none;own;١;skilled;١;yes;yes;No Risk
0_to_200;٤;all_credits_paid_back;car_new;٢٥٠;less_100;1_to_4;١;female;none;٢;real_estate;١٩;none;rent;١;skilled;١;none;yes;No Risk
no_checking;٣٩;outstanding_credit;radio_tv;٥٨٤٦;unknown;greater_7;٥;male;co-applicant;٥;car_other;٥٦;none;own;٢;skilled;٢;yes;yes;Risk
no_checking;٣٢;outstanding_credit;furniture;٣٠٧٤;greater_1000;4_to_7;٤;male;none;٣;savings_insurance;٣٩;none;own;٢;skilled;١;none;yes;No Risk
0_to_200;١٩;credits_paid_to_date;furniture;٢٦٨٥;less_100;4_to_7;٣;female;none;١;real_estate;٣٤;stores;own;١;unskilled;١;none;yes;No Risk
no_checking;٢٦;prior_payments_delayed;car_used;١٨٣٠;500_to_1000;1_to_4;٣;male;none;٤;real_estate;٢٨;none;own;١;skilled;١;yes;yes;Risk
less_0;١٨;credits_paid_to_date;vacation;٥٩٥١;less_100;less_1;٣;female;none;٢;savings_insurance;٢٠;stores;rent;١;unskilled;١;none;yes;No Risk
no_checking;١٠;outstanding_credit;furniture;٣٦١٩;100_to_500;less_1;٣;female;none;٢;savings_insurance;٤٨;none;own;٢;management_self-employed;١;none;yes;No Risk
less_0;٩;all_credits_paid_back;car_used;٢٥٠;100_to_500;4_to_7;٢;female;none;١;savings_insurance;٢٨;stores;own;١;skilled;١;none;yes;No Risk
no_checking;٣٢;all_credits_paid_back;radio_tv;٤١٥١;100_to_500;less_1;٤;female;none;٣;savings_insurance;٤٨;none;own;١;skilled;١;yes;yes;No Risk
no_checking;٣٠;credits_paid_to_date;radio_tv;٤٠٧٤;500_to_1000;less_1;٣;male;none;٤;savings_insurance;٣٧;none;own;٢;skilled;١;yes;yes;Risk
no_checking;١٢;outstanding_credit;car_new;١١٩٧;unknown;1_to_4;٣;male;co-applicant;٣;real_estate;٤٠;bank;rent;١;unskilled;١;none;yes;Risk
greater_200;٤٢;prior_payments_delayed;furniture;٤٧٠٣;500_to_1000;1_to_4;٢;male;none;٤;savings_insurance;٣٤;none;own;٢;skilled;١;yes;yes;Risk
no_checking;٨;credits_paid_to_date;car_new;٣٤٦٠;greater_1000;4_to_7;٢;male;guarantor;٤;savings_insurance;٤٦;none;own;١;skilled;١;yes;yes;Risk
less_0;١٢;all_credits_paid_back;car_used;٢٥٠;less_100;unemployed;٢;male;none;٢;real_estate;٣٠;none;own;١;skilled;١;none;yes;No Risk
no_checking;١١;credits_paid_to_date;furniture;٢٨٧٢;greater_1000;1_to_4;٣;male;none;٣;savings_insurance;٣٦;none;own;١;skilled;١;none;yes;No Risk
0_to_200;١٦;prior_payments_delayed;furniture;٥١٧٢;less_100;less_1;٣;male;none;٣;unknown;٣٤;none;own;١;management_self-employed;١;yes;yes;Risk
no_checking;٨;credits_paid_to_date;radio_tv;٢٩٣٦;greater_1000;less_1;٣;male;none;٢;savings_insurance;٤٠;none;own;١;skilled;١;none;yes;No Risk
less_0;٣٥;credits_paid_to_date;education;٣٦١٥;greater_1000;1_to_4;٣;male;none;٢;savings_insurance;٣٧;none;rent;٢;skilled;١;yes;yes;Risk
no_checking;١٨;credits_paid_to_date;repairs;٦٣٣٢;less_100;4_to_7;٤;male;co-applicant;٥;savings_insurance;٤٤;none;own;١;management_self-employed;١;none;yes;No Risk
greater_200;١٩;credits_paid_to_date;radio_tv;٣٠٠٣;100_to_500;less_1;٣;female;none;٢;savings_insurance;٤٣;none;own;٢;skilled;١;yes;yes;No Risk
less_0;١٦;prior_payments_delayed;furniture;٢٥٠;greater_1000;1_to_4;١;female;none;٢;real_estate;٤٠;stores;rent;١;skilled;٢;none;yes;No Risk
no_checking;٢٦;prior_payments_delayed;appliances;٦١٣٦;100_to_500;1_to_4;٣;male;none;٤;savings_insurance;٤١;stores;own;١;unskilled;٢;yes;yes;No Risk
no_checking;١١;prior_payments_delayed;radio_tv;٥٧٦١;less_100;1_to_4;٤;male;none;٣;car_other;٣٧;none;own;٢;management_self-employed;١;none;yes;No Risk
0_to_200;١٧;prior_payments_delayed;education;٢٧٨٩;100_to_500;4_to_7;٤;male;co-applicant;٤;savings_insurance;٣٨;none;own;١;skilled;١;yes;yes;No Risk
no_checking;٢٤;prior_payments_delayed;business;٦٢٥٤;100_to_500;1_to_4;٤;female;none;٤;unknown;٥٢;none;own;١;skilled;١;none;yes;No Risk
0_to_200;٢٦;outstanding_credit;furniture;٢٩٧٩;500_to_1000;4_to_7;٢;male;none;٣;car_other;٣٨;stores;own;١;skilled;١;yes;yes;No Risk
no_checking;١٠;credits_paid_to_date;vacation;٤٢٦٢;500_to_1000;1_to_4;٤;male;none;٣;real_estate;٢٢;stores;own;٢;unskilled;١;none;yes;No Risk
0_to_200;٢٨;credits_paid_to_date;car_used;٢١٣٨;less_100;1_to_4;٣;male;none;٢;savings_insurance;٢٩;none;own;١;skilled;١;none;yes;No Risk
no_checking;٨;prior_payments_delayed;radio_tv;٣٢٩٣;100_to_500;4_to_7;٣;male;none;٤;car_other;٥٠;none;own;٢;management_self-employed;١;none;yes;No Risk
less_0;١٣;prior_payments_delayed;car_used;١٤٠١;less_100;4_to_7;٢;male;none;٣;unknown;٤٤;stores;own;١;skilled;١;none;yes;Risk
less_0;٤;credits_paid_to_date;education;٢٥٠;less_100;unemployed;١;female;none;١;savings_insurance;١٩;none;own;١;skilled;١;none;yes;No Risk
0_to_200;٤٤;prior_payments_delayed;repairs;٦٦٢١;500_to_1000;greater_7;٥;male;none;٣;unknown;٣٥;bank;own;٢;unemployed;١;none;yes;No Risk
less_0;٤;all_credits_paid_back;car_new;١٣٠١;100_to_500;less_1;١;female;none;٢;real_estate;٢٠;bank;rent;٢;unskilled;٢;none;yes;No Risk
no_checking;٣٠;outstanding_credit;appliances;٥٢٥١;500_to_1000;1_to_4;٣;male;none;٣;savings_insurance;٤٩;none;own;١;skilled;١;none;yes;No Risk
no_checking;١٦;credits_paid_to_date;car_new;٤٨١٠;less_100;1_to_4;٤;male;none;٤;car_other;٣١;none;own;١;management_self-employed;١;none;yes;Risk
no_checking;٣٦;prior_payments_delayed;furniture;٨٨٤٧;500_to_1000;1_to_4;٥;male;co-applicant;٤;savings_insurance;٤١;none;free;٢;management_self-employed;١;none;yes;No Risk
0_to_200;٤;credits_paid_to_date;furniture;٤٠٣٥;less_100;4_to_7;٣;female;none;٢;savings_insurance;٣٢;none;free;٢;skilled;١;yes;yes;No Risk
less_0;٣٠;credits_paid_to_date;furniture;٢٩٧٥;less_100;4_to_7;٢;female;none;٣;savings_insurance;٣٦;stores;own;٢;skilled;١;none;yes;No Risk
no_checking;٤٥;outstanding_credit;education;٥٤٨٤;500_to_1000;4_to_7;٥;male;none;٣;car_other;٣٣;none;own;١;skilled;١;yes;yes;No Risk
0_to_200;٣٢;credits_paid_to_date;appliances;٣٠٦٥;greater_1000;greater_7;٤;male;none;٢;savings_insurance;٣٩;bank;own;٢;unemployed;١;yes;yes;No Risk
0_to_200;١٥;prior_payments_delayed;furniture;٥٧٥٧;500_to_1000;greater_7;٤;male;none;٤;savings_insurance;٤٧;none;own;٢;skilled;١;yes;yes;No Risk
less_0;١٤;all_credits_paid_back;car_new;٢٥٣٨;less_100;4_to_7;٣;male;none;٢;real_estate;٢٤;none;own;١;skilled;١;none;yes;No Risk
0_to_200;٣١;prior_payments_delayed;radio_tv;٥٠٩٦;500_to_1000;1_to_4;٣;male;none;٤;car_other;٣٤;bank;own;٢;unemployed;١;yes;yes;No Risk
no_checking;٢٧;prior_payments_delayed;appliances;٥٣٩٥;unknown;4_to_7;٤;male;none;٤;savings_insurance;٤٠;none;own;١;skilled;١;none;yes;No Risk
0_to_200;٤;prior_payments_delayed;car_new;٢٥٠;less_100;less_1;٢;female;none;١;real_estate;٣٧;none;own;١;skilled;١;yes;yes;No Risk
less_0;١٧;all_credits_paid_back;furniture;٢٦١١;less_100;unemployed;٢;male;none;٣;savings_insurance;٢٦;none;own;١;skilled;١;none;yes;No Risk
no_checking;٢٥;prior_payments_delayed;radio_tv;١٦١٣;greater_1000;1_to_4;٢;male;none;٤;savings_insurance;٢٣;none;own;١;skilled;٢;none;yes;Risk
greater_200;٢٣;credits_paid_to_date;radio_tv;٥٨٤٧;greater_1000;greater_7;٤;male;none;٣;car_other;٤٣;bank;own;٢;unemployed;١;none;yes;Risk
less_0;٤;all_credits_paid_back;car_new;٩٢٩;less_100;1_to_4;١;male;none;٢;real_estate;٢٢;stores;own;١;skilled;١;none;yes;No Risk
0_to_200;٣٧;outstanding_credit;appliances;٦٢٥٥;unknown;greater_7;٤;male;none;٣;unknown;٤٥;none;own;٢;skilled;٢;yes;yes;No Risk
less_0;٤;prior_payments_delayed;furniture;٢٤٩٩;500_to_1000;1_to_4;٣;male;none;٢;car_other;٢٣;none;own;١;skilled;١;none;yes;No Risk
less_0;١٥;credits_paid_to_date;car_new;٤٦٦;less_100;unemployed;٢;female;none;٣;real_estate;٢٨;none;own;١;management_self-employed;١;none;yes;No Risk
less_0;٤;no_credits;car_new;١١٤٢;less_100;unemployed;٢;male;none;٢;real_estate;١٩;none;rent;١;management_self-employed;١;none;yes;No Risk
less_0;١٠;all_credits_paid_back;car_new;٧٦٢;less_100;1_to_4;١;female;none;٢;savings_insurance;٢٧;stores;own;١;skilled;١;none;yes;No Risk
no_checking;٣٥;outstanding_credit;radio_tv;٥٤٨٧;greater_1000;4_to_7;٤;male;none;٤;car_other;٥١;none;own;٢;skilled;٢;yes;yes;Risk
